date,category,amount,type,notes
2025-03-20,Groceries,98.46,Expense,Daily Spend
2025-03-22,Dining Out,24.8,Expense,Daily Spend
2025-03-23,Groceries,94.58,Expense,Daily Spend
2025-03-24,Transport,14.12,Expense,Daily Spend
2025-03-25,Coffee,8.37,Expense,Daily Spend
2025-03-26,Groceries,40.33,Expense,Daily Spend
2025-03-28,Groceries,137.94,Expense,Daily Spend
2025-03-29,Groceries,32.05,Expense,Daily Spend
2025-03-31,Dining Out,64.89,Expense,Daily Spend
2025-04-01,Transport,22.0,Expense,Daily Spend
2025-04-01,Subscription,15.08,Expense,Fixed Bill
2025-04-01,Insurance,101.51,Expense,Fixed Bill
2025-04-01,Rent,1243.37,Expense,Fixed Bill
2025-04-01,Internet,60.96,Expense,Fixed Bill
2025-04-01,Utilities,154.49,Expense,Fixed Bill
2025-04-01,Salary,4500.0,Income,Monthly Salary
2025-04-03,Dining Out,42.35,Expense,Daily Spend
2025-04-04,Entertainment,86.28,Expense,Daily Spend
2025-04-06,Groceries,87.81,Expense,Daily Spend
2025-04-08,Groceries,62.89,Expense,Daily Spend
2025-04-10,Groceries,92.37,Expense,Daily Spend
2025-04-11,Health,85.92,Expense,Daily Spend
2025-04-12,Health,64.81,Expense,Daily Spend
2025-04-15,Groceries,88.62,Expense,Daily Spend
2025-04-16,Shopping,228.42,Expense,Daily Spend
2025-04-17,Transport,26.9,Expense,Daily Spend
2025-04-18,Groceries,129.05,Expense,Daily Spend
2025-04-19,Groceries,40.64,Expense,Daily Spend
2025-04-21,Transport,43.29,Expense,Daily Spend
2025-04-23,Groceries,139.84,Expense,Daily Spend
2025-04-24,Shopping,162.8,Expense,Daily Spend
2025-04-26,Groceries,126.08,Expense,Daily Spend
2025-04-28,Dining Out,50.72,Expense,Daily Spend
2025-04-29,Dining Out,26.39,Expense,Daily Spend
2025-04-30,Groceries,113.57,Expense,Daily Spend
2025-05-01,Salary,4500.0,Income,Monthly Salary
2025-05-01,Rent,1257.17,Expense,Fixed Bill
2025-05-01,Internet,62.84,Expense,Fixed Bill
2025-05-01,Utilities,143.85,Expense,Fixed Bill
2025-05-01,Insurance,101.08,Expense,Fixed Bill
2025-05-01,Subscription,15.12,Expense,Fixed Bill
2025-05-01,Shopping,284.37,Expense,Daily Spend
2025-05-02,Dining Out,39.4,Expense,Daily Spend
2025-05-04,Shopping,61.79,Expense,Daily Spend
2025-05-05,Shopping,293.29,Expense,Daily Spend
2025-05-07,Shopping,284.46,Expense,Daily Spend
2025-05-08,Shopping,252.43,Expense,Daily Spend
2025-05-09,Entertainment,59.81,Expense,Daily Spend
2025-05-11,Groceries,114.09,Expense,Daily Spend
2025-05-12,Health,32.93,Expense,Daily Spend
2025-05-15,Shopping,176.7,Expense,Daily Spend
2025-05-16,Groceries,88.49,Expense,Daily Spend
2025-05-20,Freelance Project,339.8,Income,Side Hustle
2025-05-20,Transport,46.85,Expense,Daily Spend
2025-05-21,Groceries,43.23,Expense,Daily Spend
2025-05-22,Health,35.54,Expense,Daily Spend
2025-05-23,Shopping,264.03,Expense,Daily Spend
2025-05-25,Transport,43.95,Expense,Daily Spend
2025-05-26,Dining Out,34.16,Expense,Daily Spend
2025-05-29,Transport,14.17,Expense,Daily Spend
2025-05-30,Groceries,64.45,Expense,Daily Spend
2025-05-31,Coffee,6.29,Expense,Daily Spend
2025-06-01,Shopping,285.41,Expense,Daily Spend
2025-06-01,Subscription,15.37,Expense,Fixed Bill
2025-06-01,Insurance,100.21,Expense,Fixed Bill
2025-06-01,Rent,1259.52,Expense,Fixed Bill
2025-06-01,Internet,62.37,Expense,Fixed Bill
2025-06-01,Salary,4500.0,Income,Monthly Salary
2025-06-01,Utilities,156.59,Expense,Fixed Bill
2025-06-02,Groceries,59.99,Expense,Daily Spend
2025-06-03,Transport,33.91,Expense,Daily Spend
2025-06-04,Consulting,1481.88,Income,Side Hustle
2025-06-04,Transport,28.84,Expense,Daily Spend
2025-06-06,Entertainment,63.32,Expense,Daily Spend
2025-06-08,Entertainment,77.14,Expense,Daily Spend
2025-06-09,Groceries,42.56,Expense,Daily Spend
2025-06-11,Transport,41.7,Expense,Daily Spend
2025-06-13,Entertainment,97.88,Expense,Daily Spend
2025-06-14,Shopping,201.56,Expense,Daily Spend
2025-06-15,Groceries,52.52,Expense,Daily Spend
2025-06-16,Entertainment,18.13,Expense,Daily Spend
2025-06-17,Transport,31.91,Expense,Daily Spend
2025-06-18,Groceries,135.88,Expense,Daily Spend
2025-06-19,Transport,28.05,Expense,Daily Spend
2025-06-21,Transport,15.38,Expense,Daily Spend
2025-06-22,Dining Out,71.73,Expense,Daily Spend
2025-06-23,Transport,20.71,Expense,Daily Spend
2025-06-24,Groceries,130.19,Expense,Daily Spend
2025-06-25,Groceries,102.41,Expense,Daily Spend
2025-06-26,Transport,43.55,Expense,Daily Spend
2025-06-28,Shopping,145.79,Expense,Daily Spend
2025-06-29,Transport,25.4,Expense,Daily Spend
2025-06-30,Entertainment,72.79,Expense,Daily Spend
2025-07-01,Groceries,126.51,Expense,Daily Spend
2025-07-01,Subscription,14.79,Expense,Fixed Bill
2025-07-01,Utilities,145.55,Expense,Fixed Bill
2025-07-01,Insurance,104.66,Expense,Fixed Bill
2025-07-01,Rent,1239.59,Expense,Fixed Bill
2025-07-01,Salary,4500.0,Income,Monthly Salary
2025-07-01,Internet,58.21,Expense,Fixed Bill
2025-07-02,Dining Out,36.45,Expense,Daily Spend
2025-07-02,Freelance Project,353.98,Income,Side Hustle
2025-07-03,Groceries,101.98,Expense,Daily Spend
2025-07-04,Groceries,47.68,Expense,Daily Spend
2025-07-05,Health,96.31,Expense,Daily Spend
2025-07-06,Dining Out,60.18,Expense,Daily Spend
2025-07-11,Entertainment,26.72,Expense,Daily Spend
2025-07-12,Consulting,567.11,Income,Side Hustle
2025-07-12,Transport,16.0,Expense,Daily Spend
2025-07-13,Entertainment,37.73,Expense,Daily Spend
2025-07-15,Groceries,30.31,Expense,Daily Spend
2025-07-16,Dining Out,62.57,Expense,Daily Spend
2025-07-16,Dividend,62.46,Income,Side Hustle
2025-07-18,Transport,24.02,Expense,Daily Spend
2025-07-19,Groceries,87.81,Expense,Daily Spend
2025-07-20,Transport,31.92,Expense,Daily Spend
2025-07-21,Health,77.24,Expense,Daily Spend
2025-07-22,Entertainment,57.96,Expense,Daily Spend
2025-07-23,Groceries,48.63,Expense,Daily Spend
2025-07-24,Groceries,47.59,Expense,Daily Spend
2025-07-25,Transport,15.94,Expense,Daily Spend
2025-07-26,Dining Out,32.98,Expense,Daily Spend
2025-07-27,Transport,49.62,Expense,Daily Spend
2025-07-28,Dining Out,34.6,Expense,Daily Spend
2025-07-31,Groceries,104.09,Expense,Daily Spend
2025-08-01,Groceries,119.76,Expense,Daily Spend
2025-08-01,Subscription,15.11,Expense,Fixed Bill
2025-08-01,Utilities,155.46,Expense,Fixed Bill
2025-08-01,Insurance,95.54,Expense,Fixed Bill
2025-08-01,Rent,1205.14,Expense,Fixed Bill
2025-08-01,Salary,4500.0,Income,Monthly Salary
2025-08-01,Internet,59.38,Expense,Fixed Bill
2025-08-02,Groceries,98.97,Expense,Daily Spend
2025-08-04,Groceries,143.78,Expense,Daily Spend
2025-08-05,Groceries,131.27,Expense,Daily Spend
2025-08-06,Transport,22.56,Expense,Daily Spend
2025-08-06,Dividend,125.3,Income,Side Hustle
2025-08-07,Dining Out,51.37,Expense,Daily Spend
2025-08-08,Shopping,259.07,Expense,Daily Spend
2025-08-09,Groceries,30.96,Expense,Daily Spend
2025-08-10,Groceries,68.52,Expense,Daily Spend
2025-08-13,Groceries,95.94,Expense,Daily Spend
2025-08-14,Groceries,94.35,Expense,Daily Spend
2025-08-15,Transport,47.34,Expense,Daily Spend
2025-08-16,Entertainment,24.48,Expense,Daily Spend
2025-08-17,Transport,49.72,Expense,Daily Spend
2025-08-18,Dining Out,28.96,Expense,Daily Spend
2025-08-21,Entertainment,46.0,Expense,Daily Spend
2025-08-25,Shopping,291.49,Expense,Daily Spend
2025-08-27,Dining Out,35.95,Expense,Daily Spend
2025-08-28,Dining Out,27.89,Expense,Daily Spend
2025-08-29,Groceries,108.65,Expense,Daily Spend
2025-08-30,Dining Out,54.17,Expense,Daily Spend
2025-08-31,Health,46.16,Expense,Daily Spend
2025-09-01,Salary,4500.0,Income,Monthly Salary
2025-09-01,Rent,1162.25,Expense,Fixed Bill
2025-09-01,Internet,62.33,Expense,Fixed Bill
2025-09-01,Utilities,147.57,Expense,Fixed Bill
2025-09-01,Insurance,104.35,Expense,Fixed Bill
2025-09-01,Subscription,14.99,Expense,Fixed Bill
2025-09-02,Shopping,184.53,Expense,Daily Spend
2025-09-02,Freelance Project,467.75,Income,Side Hustle
2025-09-03,Dining Out,24.31,Expense,Daily Spend
2025-09-04,Groceries,54.69,Expense,Daily Spend
2025-09-05,Health,58.65,Expense,Daily Spend
2025-09-06,Dining Out,62.79,Expense,Daily Spend
2025-09-07,Groceries,67.1,Expense,Daily Spend
2025-09-07,Dividend,159.9,Income,Side Hustle
2025-09-08,Entertainment,40.56,Expense,Daily Spend
2025-09-09,Shopping,267.42,Expense,Daily Spend
2025-09-10,Transport,12.85,Expense,Daily Spend
2025-09-11,Health,68.11,Expense,Daily Spend
2025-09-14,Dining Out,40.43,Expense,Daily Spend
2025-09-15,Groceries,103.49,Expense,Daily Spend
2025-09-16,Transport,49.86,Expense,Daily Spend
2025-09-17,Entertainment,28.91,Expense,Daily Spend
2025-09-17,Consulting,624.94,Income,Side Hustle
2025-09-18,Health,38.27,Expense,Daily Spend
2025-09-19,Dining Out,60.73,Expense,Daily Spend
2025-09-21,Transport,19.97,Expense,Daily Spend
2025-09-22,Entertainment,28.59,Expense,Daily Spend
2025-09-23,Transport,34.66,Expense,Daily Spend
2025-09-27,Shopping,92.24,Expense,Daily Spend
2025-09-28,Health,37.74,Expense,Daily Spend
2025-09-30,Shopping,288.9,Expense,Daily Spend
2025-10-01,Salary,4500.0,Income,Monthly Salary
2025-10-01,Rent,1257.93,Expense,Fixed Bill
2025-10-01,Internet,58.46,Expense,Fixed Bill
2025-10-01,Utilities,143.48,Expense,Fixed Bill
2025-10-01,Insurance,103.6,Expense,Fixed Bill
2025-10-01,Subscription,14.42,Expense,Fixed Bill
2025-10-01,Health,24.45,Expense,Daily Spend
2025-10-02,Dining Out,42.73,Expense,Daily Spend
2025-10-03,Transport,49.31,Expense,Daily Spend
2025-10-04,Dividend,154.96,Income,Side Hustle
2025-10-04,Dining Out,40.06,Expense,Daily Spend
2025-10-05,Groceries,43.93,Expense,Daily Spend
2025-10-06,Groceries,68.41,Expense,Daily Spend
2025-10-07,Dining Out,75.98,Expense,Daily Spend
2025-10-09,Transport,26.29,Expense,Daily Spend
2025-10-10,Dining Out,37.11,Expense,Daily Spend
2025-10-11,Groceries,84.8,Expense,Daily Spend
2025-10-12,Shopping,150.69,Expense,Daily Spend
2025-10-13,Dining Out,47.05,Expense,Daily Spend
2025-10-14,Shopping,57.86,Expense,Daily Spend
2025-10-15,Health,25.2,Expense,Daily Spend
2025-10-17,Consulting,1415.33,Income,Side Hustle
2025-10-18,Shopping,58.35,Expense,Daily Spend
2025-10-19,Groceries,78.9,Expense,Daily Spend
2025-10-20,Shopping,121.74,Expense,Daily Spend
2025-10-22,Transport,47.85,Expense,Daily Spend
2025-10-23,Transport,48.05,Expense,Daily Spend
2025-10-24,Transport,42.81,Expense,Daily Spend
2025-10-27,Dining Out,62.42,Expense,Daily Spend
2025-10-29,Groceries,45.33,Expense,Daily Spend
2025-10-30,Groceries,84.08,Expense,Daily Spend
2025-10-31,Coffee,14.31,Expense,Daily Spend
2025-11-01,Salary,4500.0,Income,Monthly Salary
2025-11-01,Rent,1154.4,Expense,Fixed Bill
2025-11-01,Internet,60.04,Expense,Fixed Bill
2025-11-01,Utilities,150.93,Expense,Fixed Bill
2025-11-01,Insurance,96.33,Expense,Fixed Bill
2025-11-01,Subscription,15.58,Expense,Fixed Bill
2025-11-01,Transport,11.93,Expense,Daily Spend
2025-11-06,Groceries,51.05,Expense,Daily Spend
2025-11-07,Dining Out,26.61,Expense,Daily Spend
2025-11-09,Freelance Project,622.89,Income,Side Hustle
2025-11-12,Groceries,70.76,Expense,Daily Spend
2025-11-13,Coffee,11.39,Expense,Daily Spend
2025-11-15,Shopping,228.49,Expense,Daily Spend
2025-11-17,Entertainment,27.72,Expense,Daily Spend
2025-11-19,Transport,22.13,Expense,Daily Spend
2025-11-20,Shopping,181.51,Expense,Daily Spend
2025-11-21,Coffee,6.41,Expense,Daily Spend
2025-11-22,Entertainment,51.51,Expense,Daily Spend
2025-11-24,Dining Out,44.09,Expense,Daily Spend
2025-11-25,Groceries,39.63,Expense,Daily Spend
2025-11-27,Groceries,104.86,Expense,Daily Spend
2025-11-29,Dining Out,29.2,Expense,Daily Spend
2025-11-30,Entertainment,95.0,Expense,Daily Spend
2025-12-01,Salary,4500.0,Income,Monthly Salary
2025-12-01,Rent,1151.91,Expense,Fixed Bill
2025-12-01,Internet,57.77,Expense,Fixed Bill
2025-12-01,Utilities,152.23,Expense,Fixed Bill
2025-12-01,Insurance,96.5,Expense,Fixed Bill
2025-12-01,Subscription,14.57,Expense,Fixed Bill
2025-12-03,Shopping,257.24,Expense,Daily Spend
2025-12-04,Transport,23.68,Expense,Daily Spend
